Dist,Vol,sd dev
80,2.21434,0.006775
78,2.204014,0.0067
76,2.19885,0.00676
74,2.194978,0.006687
72,2.193687,0.006919
70,2.189815,0.006723
68,2.191106,0.006436
66,2.192396,0.007107
64,2.193042,0.006286
62,2.196269,0.007126
60,2.201432,0.00668
58,2.203368,0.006623
56,2.200787,0.006971
54,2.199496,0.006671
52,2.193687,0.006364
50,2.183361,0.006489
48,2.167225,0.006911
46,2.155608,0.007198
45,2.140118,0.007148
44,2.129791,0.006572
43,2.113656,0.006561
42,2.091712,0.006586
41.5,2.081385,0.006787
41,2.070413,0.006572
40.5,2.054278,0.006663
40,2.036851,0.006424
39.5,2.025234,0.007137
39,2.000708,0.006476
38.7,1.991672,0.007067
38.4,1.976828,0.006607
38.1,1.970374,0.006501
37.8,1.953593,0.006926
37.5,1.94133,0.006534
37.2,1.925195,0.006901
36.9,1.898733,0.007007
36.6,1.876789,0.006691
36.3,1.858072,0.006657
36,1.829028,0.006564
35.7,1.80902,0.006849
35.4,1.777395,0.006616
35.1,1.745124,0.006663
34.8,1.714144,0.0078
34.6,1.6922,0.006565
34.4,1.66832,0.006837
34.2,1.64573,0.00676
